Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,Filtro,AcaoP,AcaoI,AcaoD
2.2,159,0,159.00,0.00,0.00,95.40,159.00,0.16
3.2,158,40,117.55,254.56,165.40,70.53,160.00,-0.04
4.2,159,148,11.29,230.49,207.40,6.77,160.00,-0.11
5.2,159,152,6.54,166.67,181.30,3.92,160.00,-0.00
6.2,159,151,8.47,163.92,171.00,05.08,160.00,0.00
7.2,159,150,8.82,165.09,167.50,5.29,160.00,0.00
8.2,159,149,9.70,165.29,166.30,5.82,160.00,0.00
9.2,159,149,9.53,165.82,166.30,5.72,160.00,-0.00
10.2,159,150,8.82,165.72,166.30,5.29,160.00,-0.00
11.2,159,149,9.53,165.29,166.20,5.72,160.00,0.00
12.2,159,149,10.41,165.72,166.20,6.24,160.00,0.00
13.2,159,146,13.04,166.24,166.20,7.83,160.00,0.00
14.2,159,150,9.35,167.83,166.90,5.61,160.00,-0.00
15.2,159,150,9.00,165.61,166.60,5.40,160.00,-0.00
16.2,159,150,9.00,165.40,166.30,5.40,160.00,0.00
17.2,159,150,8.65,165.40,166.30,5.19,160.00,-0.00
18.2,159,152,7.42,165.19,166.10,4.45,160.00,-0.00
19.2,159,151,8.47,164.45,165.40,05.08,160.00,0.00
20.2,159,151,8.47,165.08,165.40,05.08,160.00,0.00
21.2,158,151,6.77,165.08,165.40,04.06,160.00,-0.00
22.2,159,151,7.94,164.06,165.00,4.77,160.00,0.00
23.2,159,151,8.47,164.77,165.00,05.08,160.00,0.00
24.2,159,150,8.82,165.08,165.00,5.29,160.00,0.00
25.2,159,150,8.82,165.29,165.00,5.29,160.00,0.00
26.2,159,150,8.65,165.29,165.00,5.19,160.00,-0.00
27.2,159,151,7.59,165.19,165.00,4.56,160.00,-0.00
28.2,159,152,7.42,164.55,165.00,4.45,160.00,-0.00
29.2,159,151,7.77,164.45,165.00,4.66,160.00,0.00
30.2,159,152,7.24,164.66,165.00,4.34,160.00,-0.00
31.2,159,151,8.12,164.34,165.00,4.87,160.00,0.00
32.2,159,151,8.47,164.87,165.00,05.08,160.00,0.00
33.2,159,149,10.06,165.08,165.00,06.03,160.00,0.00
34.2,159,151,8.30,166.03,165.10,4.98,160.00,-0.00
35.2,159,150,8.65,164.98,165.10,5.19,160.00,0.00
36.2,159,151,7.94,165.19,165.10,4.77,160.00,-0.00
37.2,159,150,9.18,164.77,165.10,5.51,160.00,0.00
38.2,159,150,9.35,165.51,165.10,5.61,160.00,0.00
39.2,159,151,8.12,165.61,165.10,4.87,160.00,-0.00
40.2,159,150,8.65,164.87,165.10,5.19,160.00,0.00
41.2,159,149,10.23,165.19,165.10,6.14,160.00,0.00
42.2,159,151,8.30,166.14,165.20,4.98,160.00,-0.00
43.2,159,151,8.47,164.98,165.20,05.08,160.00,0.00
44.2,159,151,8.47,165.08,165.20,05.08,160.00,0.00
45.2,159,151,8.30,165.08,165.20,4.98,160.00,-0.00
46.2,159,150,8.65,164.98,165.20,5.19,160.00,0.00
47.2,159,151,8.12,165.19,165.20,4.87,160.00,-0.00
48.2,159,151,7.59,164.87,165.20,4.56,160.00,-0.00
49.2,159,151,8.30,164.56,165.20,4.98,160.00,0.00
50.2,159,150,8.82,164.98,165.20,5.29,160.00,0.00
51.2,159,151,7.94,165.30,165.20,4.77,160.00,-0.00
52.2,159,150,8.65,164.77,165.20,5.19,160.00,0.00
53.2,159,151,8.12,165.19,165.20,4.87,160.00,-0.00
54.2,159,151,7.77,164.87,165.20,4.66,160.00,-0.00
55.2,159,150,8.82,164.66,165.20,5.29,160.00,0.00
56.2,159,150,9.18,165.30,165.20,5.51,160.00,0.00
57.2,159,151,7.94,165.51,165.20,4.77,160.00,-0.00
58.2,159,151,8.12,164.77,165.20,4.87,160.00,0.00
59.2,159,151,7.77,164.87,165.20,4.66,160.00,-0.00
60.2,159,151,7.77,164.66,165.20,4.66,160.00,0.00
61.2,159,150,8.65,164.66,165.20,5.19,160.00,0.00
62.2,159,151,7.59,165.19,165.20,4.56,160.00,-0.00
63.2,159,151,7.59,164.55,165.20,4.56,160.00,0.00
64.2,159,151,7.59,164.56,165.20,4.56,160.00,0.00
65.2,159,151,7.94,164.56,165.20,4.77,160.00,0.00
66.2,159,151,7.77,164.77,165.20,4.66,160.00,-0.00
67.2,159,151,7.59,164.66,165.20,4.56,160.00,-0.00
68.2,-59,150,-208.82,164.56,165.20,-125.29,-48.82,-0.22
69.2,-160,91,-250.74,-174.34,-55.50,-150.44,-160.00,-0.04
70.2,-160,-86,-74.19,-310.49,-211.40,-44.51,-160.00,0.18
71.2,-160,-157,-3.32,-204.33,-207.10,-1.99,-160.00,0.07
72.2,-160,-158,-2.09,-161.92,-178.10,-1.25,-160.00,0.00
73.2,-160,-154,-5.78,-161.25,-168.00,-3.47,-160.00,-0.00
74.2,-160,-152,-7.89,-163.47,-165.30,-4.73,-160.00,-0.00
75.2,-160,-152,-7.54,-164.74,-165.30,-4.52,-160.00,0.00
76.2,-160,-154,-6.48,-164.52,-165.30,-3.89,-160.00,0.00
77.2,-160,-154,-5.78,-163.89,-164.80,-3.47,-160.00,0.00
78.2,-160,-155,-4.72,-163.47,-164.40,-2.83,-160.00,0.00
79.2,-160,-156,-4.02,-162.83,-163.80,-2.41,-160.00,0.00
80.2,-160,-155,-4.72,-162.41,-163.40,-2.83,-160.00,-0.00
81.2,-160,-158,-2.26,-162.84,-163.40,-1.36,-160.00,0.00
82.2,-160,-158,-1.91,-161.36,-162.40,-1.15,-160.00,0.00
83.2,-160,-158,-2.09,-161.15,-162.10,-1.25,-160.00,-0.00
84.2,-160,-158,-1.91,-161.25,-162.10,-1.15,-160.00,0.00
85.2,-160,-158,-1.91,-161.15,-162.10,-1.15,-160.00,0.00
86.2,-160,-158,-2.09,-161.15,-162.10,-1.25,-160.00,-0.00
87.2,-160,-158,-1.91,-161.25,-162.10,-1.15,-160.00,0.00
88.2,-160,-158,-2.09,-161.15,-162.10,-1.25,-160.00,-0.00
89.2,-160,-158,-1.74,-161.25,-162.10,-1.04,-160.00,0.00
90.2,-160,-158,-2.09,-161.04,-162.00,-1.25,-160.00,-0.00
91.2,-160,-158,-1.91,-161.25,-162.00,-1.15,-160.00,0.00
92.2,-160,-158,-1.91,-161.15,-162.00,-1.15,-160.00,0.00
93.2,-160,-158,-2.09,-161.15,-162.00,-1.25,-160.00,-0.00
94.2,-160,-158,-1.91,-161.25,-162.00,-1.15,-160.00,0.00
95.2,-160,-158,-1.91,-161.15,-162.00,-1.15,-160.00,0.00
96.2,-160,-158,-2.09,-161.15,-162.00,-1.25,-160.00,-0.00
97.2,-160,-158,-1.91,-161.25,-162.00,-1.15,-160.00,0.00
98.2,-160,-158,-1.91,-161.15,-162.00,-1.15,-160.00,0.00
99.2,-160,-158,-2.09,-161.15,-162.00,-1.25,-160.00,-0.00
100.2,-160,-158,-1.91,-161.25,-162.00,-1.15,-160.00,0.00
101.2,-160,-155,-4.55,-161.15,-162.00,-2.73,-160.00,-0.00
102.2,-160,-155,-5.43,-162.73,-162.00,-3.26,-160.00,-0.00
103.2,-160,-157,-2.61,-163.26,-162.30,-1.57,-160.00,0.00
104.2,-160,-158,-2.09,-161.57,-162.30,-1.25,-160.00,0.00
105.2,-160,-158,-1.91,-161.25,-162.20,-1.15,-160.00,0.00
106.2,-160,-158,-2.09,-161.15,-162.10,-1.25,-160.00,-0.00
107.2,-160,-158,-1.74,-161.25,-162.10,-1.04,-160.00,0.00
108.2,-160,-158,-1.91,-161.04,-162.00,-1.15,-160.00,-0.00
109.2,-160,-158,-2.09,-161.15,-162.00,-1.25,-160.00,-0.00
110.2,-160,-158,-1.91,-161.25,-162.00,-1.15,-160.00,0.00
111.2,-160,-158,-2.09,-161.15,-162.00,-1.25,-160.00,-0.00
112.2,-160,-158,-1.91,-161.25,-162.00,-1.15,-160.00,0.00
113.2,-160,-158,-2.09,-161.15,-162.00,-1.25,-160.00,-0.00
114.2,-160,-158,-1.91,-161.25,-162.00,-1.15,-160.00,0.00
115.2,-160,-158,-1.91,-161.15,-162.00,-1.15,-160.00,0.00
116.2,-160,-158,-1.91,-161.15,-162.00,-1.15,-160.00,0.00
117.2,-160,-158,-1.91,-161.15,-162.00,-1.15,-160.00,0.00
118.2,-160,-158,-2.09,-161.15,-162.00,-1.25,-160.00,-0.00